AdGroupId,CampaignId,AdvertiserId,AdGroupName,BaseBidCPM,Channel,DailyBudget,Status,KoaEnabled,PredictiveClearingEnabled
ag_stream_holid_awareness_video,cmp_stream_holiday,adv_ent_brand_001,Awareness Video,12.44,Video,6332.09,Active,True,False
ag_stream_holid_prospecting_video,cmp_stream_holiday,adv_ent_brand_001,Prospecting Video,10.61,Video,9486.38,Active,False,True
ag_game_launch_prospecting_video,cmp_game_launch,adv_ent_brand_002,Prospecting Video,13.05,Video,11411.37,Active,True,False
ag_game_launch_awareness_video,cmp_game_launch,adv_ent_brand_002,Awareness Video,10.21,Video,10543.88,Active,True,False
ag_game_launch_performance_display,cmp_game_launch,adv_ent_brand_002,Performance Display,4.87,Display,5213.51,Active,True,False
ag_fresh_holida_performance_video,cmp_fresh_holiday,adv_cpg_brand_001,Performance Video,13.41,Video,10903.73,Active,True,True
ag_fresh_holida_prospecting_native,cmp_fresh_holiday,adv_cpg_brand_001,Prospecting Native,5.61,Native,5386.24,Active,True,True
ag_fresh_holida_retargeting_native,cmp_fresh_holiday,adv_cpg_brand_001,Retargeting Native,5.77,Native,3585.58,Active,False,True
ag_clean_newyea_performance_video,cmp_clean_newyear,adv_cpg_brand_002,Performance Video,14.71,Video,6763.78,Active,True,False
ag_clean_newyea_retargeting_native,cmp_clean_newyear,adv_cpg_brand_002,Retargeting Native,6.47,Native,4453.21,Active,False,True
ag_clean_newyea_prospecting_native,cmp_clean_newyear,adv_cpg_brand_002,Prospecting Native,7.07,Native,5009.95,Active,True,True
